Amount,Class
1.19,NORMAL
45,NORMAL
95.56,NORMAL
13.99,NORMAL
12.99,NORMAL
526.96,NORMAL
70,NORMAL
4.38,NORMAL
12.99,NORMAL
24,NORMAL
1,NORMAL
17.56,NORMAL
12.99,NORMAL
18.96,NORMAL
22.58,NORMAL
99.82,NORMAL
25.36,NORMAL
7.81,NORMAL
18.61,NORMAL
49.99,NORMAL
17.24,NORMAL
34,NORMAL
35.11,NORMAL
1,NORMAL
29.95,NORMAL
45.3,NORMAL
79.18,NORMAL
26.98,NORMAL
1.98,NORMAL
42.81,NORMAL
25,NORMAL
0.99,NORMAL
7.14,NORMAL
9.99,NORMAL
32.51,NORMAL
8.99,NORMAL
10,NORMAL
10.62,NORMAL
4.81,NORMAL
12.2,NORMAL
12.31,NORMAL
2.69,NORMAL
100.37,NORMAL
1.5,NORMAL
1.98,NORMAL
2.98,NORMAL
18.94,NORMAL
10,NORMAL
13.28,NORMAL
5.96,NORMAL
31.8,NORMAL
120,NORMAL
24,NORMAL
231.71,NORMAL
13.53,NORMAL
18.45,NORMAL
1.98,NORMAL
13.79,NORMAL
20.17,NORMAL
9.99,NORMAL
55.45,NORMAL
0.99,NORMAL
26.5,NORMAL
99,NORMAL
5.46,NORMAL
1.98,NORMAL
49.99,NORMAL
24.84,NORMAL
13.08,NORMAL
9.03,NORMAL
1,NORMAL
10.35,NORMAL
14.9,NORMAL
154.4,NORMAL
122.36,NORMAL
2.28,NORMAL
6.54,NORMAL
2.6,NORMAL
6.47,NORMAL
52.95,NORMAL
0.89,NORMAL
5.99,NORMAL
208.38,NORMAL
32.51,NORMAL
6.51,NORMAL
18,NORMAL
1.98,NORMAL
70.33,NORMAL
2.69,NORMAL
19.29,NORMAL
8.99,NORMAL
109.15,NORMAL
0,NORMAL
27,NORMAL
2,NORMAL
11.64,NORMAL
94.5,NORMAL
2.31,NORMAL
7.89,NORMAL
1,NORMAL
11.99,NORMAL
302.1,NORMAL
30.3,NORMAL
8.99,NORMAL
160,NORMAL
380.95,NORMAL
156.98,NORMAL
6.54,NORMAL
74.47,NORMAL
30.5,NORMAL
85,NORMAL
67.36,NORMAL
101,NORMAL
4.45,NORMAL
23.88,NORMAL
5,NORMAL
73,NORMAL
33.33,NORMAL
6.86,NORMAL
54.75,NORMAL
6.2,NORMAL
12.31,NORMAL
13.99,NORMAL
36,NORMAL
1.91,NORMAL
90,NORMAL
9.99,NORMAL
2.95,NORMAL
90,NORMAL
1.98,NORMAL
379.63,NORMAL
52.9,NORMAL
9.97,NORMAL
60,NORMAL
1,NORMAL
14.6,NORMAL
7.8,NORMAL
22.09,NORMAL
222.5,NORMAL
11.5,NORMAL
8.58,NORMAL
140.6,NORMAL
493.44,NORMAL
33.26,NORMAL
15.08,NORMAL
68,NORMAL
11.46,NORMAL
69.99,NORMAL
19.99,NORMAL
7.69,NORMAL
10,NORMAL
1.79,NORMAL
9.99,NORMAL
29.56,NORMAL
0.77,NORMAL
52,NORMAL
0.89,NORMAL
17.24,NORMAL
36.71,NORMAL
2.5,NORMAL
55.76,NORMAL
32.38,NORMAL
0.89,NORMAL
11.34,NORMAL
75,NORMAL
216,NORMAL
1.03,NORMAL
4.8,NORMAL
7.72,NORMAL
2,NORMAL
98,NORMAL
47,NORMAL
0.99,NORMAL
22,NORMAL
62.63,NORMAL
197.63,NORMAL
75.83,NORMAL
456.71,NORMAL
6,NORMAL
5,NORMAL
10.99,NORMAL
204.03,NORMAL
3.99,NORMAL
12.99,NORMAL
13.99,NORMAL
2.67,NORMAL
12.87,NORMAL
611.76,NORMAL
2.31,NORMAL
11.38,NORMAL
23.88,NORMAL
2.61,NORMAL
19.64,NORMAL
20.48,NORMAL
105.87,NORMAL
15,NORMAL
0.75,NORMAL
17.43,NORMAL
41.64,NORMAL
1.29,NORMAL
0.89,NORMAL
79,NORMAL
37.92,NORMAL
74.22,NORMAL
0.68,NORMAL
9.99,NORMAL
97.47,NORMAL
1.29,NORMAL
1.98,NORMAL
1.98,NORMAL
1,NORMAL
32.63,NORMAL
1.98,NORMAL
4.79,NORMAL
10.29,NORMAL
1.79,NORMAL
29.18,NORMAL
12.89,NORMAL
4.45,NORMAL
11.39,NORMAL
40.83,NORMAL
85.25,NORMAL
881.13,NORMAL
0,NORMAL
9.99,NORMAL
45.38,NORMAL
17.99,NORMAL
16,NORMAL
510.22,NORMAL
1,NORMAL
575.33,NORMAL
10,NORMAL
12.99,NORMAL
9.99,NORMAL
8.93,NORMAL
29.95,NORMAL
27.7,NORMAL
82.29,NORMAL
64.04,NORMAL
1,NORMAL
1.55,NORMAL
15.19,NORMAL
0.01,NORMAL
0,NORMAL
411.88,NORMAL
52.4,NORMAL
15,NORMAL
0.99,NORMAL
27.13,NORMAL
1.98,NORMAL
0,ANOMALY
46.68,NORMAL
146.25,NORMAL
