Amount,Class
-1.232286709,NORMAL
227.2235093,NORMAL
105.9907604,NORMAL
-176.5612472,NORMAL
137.3893591,NORMAL
33.52855763,NORMAL
50.92694529,NORMAL
-24.15088028,NORMAL
-86.42971994,NORMAL
-131.4418267,NORMAL
-80.10364982,NORMAL
-150.5431379,NORMAL
-121.2610876,NORMAL
123.5552461,NORMAL
-81.8496483,NORMAL
-66.06336888,NORMAL
64.73124474,NORMAL
170.3068516,NORMAL
-38.67757912,NORMAL
212.7605837,NORMAL
-5.004213037,NORMAL
32.02757974,NORMAL
30.71394585,NORMAL
-54.82335217,NORMAL
16.56051753,NORMAL
-193.3131122,NORMAL
43.85568449,NORMAL
10.40495045,NORMAL
-21.75633997,NORMAL
-38.56824614,NORMAL
-57.27954363,NORMAL
-55.7274621,NORMAL
-12.93619333,NORMAL
1.613862694,NORMAL
-17.26358164,NORMAL
-24.14247003,NORMAL
41.94503617,NORMAL
70.3631635,NORMAL
89.68251357,NORMAL
-109.5695131,NORMAL
-39.21986552,NORMAL
-99.34636657,NORMAL
164.3064601,NORMAL
-169.2640997,NORMAL
-9.917519238,NORMAL
-99.07993611,NORMAL
-48.80457669,NORMAL
44.16740645,NORMAL
47.6845824,NORMAL
-76.33424861,NORMAL
99.71962337,NORMAL
-32.51298052,NORMAL
-23.30445633,NORMAL
91.5913558,NORMAL
49.07467073,NORMAL
-107.3658704,NORMAL
18.82182781,NORMAL
-30.28577281,NORMAL
9.489575797,NORMAL
-37.53203678,NORMAL
-346.5431607,NORMAL
-43.84961351,NORMAL
-12.29233529,NORMAL
117.3995457,NORMAL
98.62825743,NORMAL
-7.428555092,NORMAL
21.66790681,NORMAL
129.5707005,NORMAL
-37.28145923,NORMAL
-136.000236,NORMAL
57.06312653,NORMAL
49.48202428,NORMAL
45.5956336,NORMAL
-47.00629408,NORMAL
23.65127377,NORMAL
-21.44098092,NORMAL
-42.15378929,NORMAL
-141.0516161,NORMAL
171.251537,NORMAL
-113.9183108,NORMAL
87.28613523,NORMAL
85.62439663,NORMAL
-37.45964827,NORMAL
-21.4133572,NORMAL
-35.85384335,NORMAL
-61.56526263,NORMAL
-40.21251691,NORMAL
-46.57527543,NORMAL
-103.8584633,NORMAL
-21.81576178,NORMAL
-36.26527743,NORMAL
-23.09355957,NORMAL
-136.4844648,NORMAL
-52.55555329,NORMAL
-49.90619317,NORMAL
43.55213448,NORMAL
41.59884402,NORMAL
-59.15124443,NORMAL
21.54692999,NORMAL
-18.5765355,NORMAL
-43.40586793,NORMAL
12456.89624,ANOMALY
73.57004525,NORMAL
-8.852492633,NORMAL
75.54456859,NORMAL
-211.3441512,NORMAL
59.51685809,NORMAL
84.19565743,NORMAL
-46.27808784,NORMAL
-59.63235573,NORMAL
166.8298865,NORMAL
1630.202908,ANOMALY
6.873082133,NORMAL
-79.36100816,NORMAL
13.93350019,NORMAL
-45.41023075,NORMAL
7207.413406,ANOMALY
90.04135105,NORMAL
-139.6925636,NORMAL
97.30755632,NORMAL
-33.16852652,NORMAL
-5819.842444,ANOMALY
21.77666549,NORMAL
41.82591386,NORMAL
-86.22631753,NORMAL
-4.517064198,NORMAL
-0.18486069,NORMAL
-28.58037456,NORMAL
108.47657,NORMAL
-51.51461991,NORMAL
-210.2096383,NORMAL
10608.21567,ANOMALY
46.57416496,NORMAL
-1.279338065,NORMAL
-53.67936652,NORMAL
62.53087117,NORMAL
119.7017028,NORMAL
-181.9861426,NORMAL
-8.283469021,NORMAL
-46.39348555,NORMAL
-160.8661322,NORMAL
-140.5998135,NORMAL
-19.76052615,NORMAL
-307.6520568,NORMAL
-25.44412075,NORMAL
-24.63345326,NORMAL
-9.702708471,NORMAL
-54.34429344,NORMAL
53.73248602,NORMAL
-56.78277574,NORMAL
38.35982307,NORMAL
-8477.599823,ANOMALY
42.87641917,NORMAL
-188.2096222,NORMAL
-5.605531486,NORMAL
197.5608109,NORMAL
-203.6898121,NORMAL
-130.2634726,NORMAL
178.6128817,NORMAL
31.52843065,NORMAL
-172.5462362,NORMAL
24.79731756,NORMAL
11.31355613,NORMAL
-200.6724743,NORMAL
-38.66412066,NORMAL
67.66131971,NORMAL
2212.184179,ANOMALY
39.73682303,NORMAL
231.121562,NORMAL
-5.389465414,NORMAL
20.39465339,NORMAL
36.82492987,NORMAL
109.8373131,NORMAL
77.81622268,NORMAL
183.1994626,NORMAL
228.6734453,NORMAL
43.79342739,NORMAL
33.01668086,NORMAL
-59.91660063,NORMAL
50.55897007,NORMAL
119.5021094,NORMAL
8240.332888,ANOMALY
44.28817608,NORMAL
36.89300133,NORMAL
39.6391881,NORMAL
-61.67222546,NORMAL
-149.0173146,NORMAL
29.38667851,NORMAL
-26.43978172,NORMAL
-124.6655517,NORMAL
-79.70721256,NORMAL
-97.88549383,NORMAL
140.9778683,NORMAL
-88.18160339,NORMAL
84.9062962,NORMAL
-97.71827325,NORMAL
-15023.3428,ANOMALY
-33.58301295,NORMAL
-14.56728237,NORMAL
-128.8268674,NORMAL
-11.2794455,NORMAL
-2303.055519,ANOMALY
83.69487489,NORMAL
-272.8975766,NORMAL
5.613936349,NORMAL
-212.8014286,NORMAL
-20374.95009,ANOMALY
56.52930871,NORMAL
-117.5171631,NORMAL
22.42300276,NORMAL
67.49255,NORMAL
-222.0348071,NORMAL
-199.3869819,NORMAL
-14.6858227,NORMAL
-154.6633843,NORMAL
-86.48016526,NORMAL
-42.56571375,NORMAL
4.419719627,NORMAL
38.14985821,NORMAL
35.94896609,NORMAL
183.3222721,NORMAL
0.731068297,NORMAL
-3.98062807,NORMAL
38.11947823,NORMAL
109.2955875,NORMAL
-40.20698533,NORMAL
9290.582632,ANOMALY
-16.91877165,NORMAL
3.762591199,NORMAL
177.9991355,NORMAL
138.529378,NORMAL
397.04574,ANOMALY
-85.21521043,NORMAL
-82.98800631,NORMAL
-211.4887548,NORMAL
151.3463213,NORMAL
-42.53358222,NORMAL
-50.3706188,NORMAL
-172.5382943,NORMAL
21.03707297,NORMAL
60.2010609,NORMAL
-49.146099,NORMAL
29.98546184,NORMAL
67.10196801,NORMAL
111.2879448,NORMAL
159.0365666,NORMAL
63.44373365,NORMAL
105.495716,NORMAL
-76.27628114,NORMAL
49.07139033,NORMAL
52.80976388,NORMAL
12079.25795,ANOMALY
30.11477761,NORMAL
-172.4065783,NORMAL
64.93270689,NORMAL
124.0379201,NORMAL
93.41780809,NORMAL
-1.187711925,NORMAL
17.44995626,NORMAL
-166.831796,NORMAL
-38.43127394,NORMAL
-128.2610073,NORMAL
111.0781165,NORMAL
-10.24369346,NORMAL
21.38764109,NORMAL
-50.50316839,NORMAL
2019.09411,ANOMALY
37.83174394,NORMAL
-40.64882225,NORMAL
-67.0017321,NORMAL
129.5941455,NORMAL
-2121.039824,ANOMALY
-83.37620784,NORMAL
-19.07027288,NORMAL
-49.17419633,NORMAL
84.69988968,NORMAL
-4363.087731,ANOMALY
146.7108843,NORMAL
49.37705155,NORMAL
125.4605999,NORMAL
-130.6717661,NORMAL
32.28756018,NORMAL
158.5600266,NORMAL
-174.8463083,NORMAL
179.6992727,NORMAL
55.20867285,NORMAL
-2971.434609,ANOMALY
49.00443668,NORMAL
-105.2691815,NORMAL
13.57677784,NORMAL
-114.641227,NORMAL
10100.98398,ANOMALY
-21.13475146,NORMAL
0.063442863,NORMAL
102.1506278,NORMAL
-48.52040652,NORMAL
10020.30784,ANOMALY
-74.15046244,NORMAL
80.16459488,NORMAL
-172.8198234,NORMAL
-103.1767758,NORMAL
1054.860307,ANOMALY
157.6955794,NORMAL
-69.82076309,NORMAL
63.4464216,NORMAL
36.0275231,NORMAL
110.2634842,NORMAL
-5.767113995,NORMAL
18.92687368,NORMAL
-74.57583561,NORMAL
42.03555598,NORMAL
1981.48683,ANOMALY
127.3566667,NORMAL
-166.0954733,NORMAL
49.42311011,NORMAL
-155.9397,NORMAL
233.9911104,NORMAL
-21.26240211,NORMAL
107.8819517,NORMAL
-59.18757244,NORMAL
-12.89381724,NORMAL
-98.33137722,NORMAL
136.6065059,NORMAL
-29.99429204,NORMAL
-198.6706291,NORMAL
-6.243384607,NORMAL
-99.07795369,NORMAL
88.01244332,NORMAL
11.5717248,NORMAL
135.2232275,NORMAL
-13.64910842,NORMAL
298.3972087,NORMAL
-105.4440492,NORMAL
-142.239581,NORMAL
64.69261609,NORMAL
148.1453189,NORMAL
-171.7098626,NORMAL
34.62899039,NORMAL
-19.77801367,NORMAL
19.8276227,NORMAL
-129.5398038,NORMAL
-12213.2857,ANOMALY
-163.8188794,NORMAL
-53.45457859,NORMAL
39.4201147,NORMAL
-102.8936304,NORMAL
-7001.123786,ANOMALY
26.24932723,NORMAL
-37.2185085,NORMAL
-48.61793593,NORMAL
-103.2974325,NORMAL
8449.45044,ANOMALY
-74.45858008,NORMAL
171.9578907,NORMAL
60.93832851,NORMAL
108.4741934,NORMAL
32.89562554,NORMAL
3.724808061,NORMAL
81.37841795,NORMAL
-93.45341753,NORMAL
-74.08199027,NORMAL
-12.24665713,NORMAL
-112.6134233,NORMAL
28.03919517,NORMAL
112.1079758,NORMAL
4.800660874,NORMAL
51.50116227,NORMAL
-33.26351949,NORMAL
112.5945442,NORMAL
125.3460394,NORMAL
263.3525729,NORMAL
-4946.140769,ANOMALY
109.248144,NORMAL
-63.83889998,NORMAL
73.85859715,NORMAL
53.9866841,NORMAL
-24.96855638,NORMAL
-10.31553401,NORMAL
98.12295021,NORMAL
-42.11714345,NORMAL
-18.5819443,NORMAL
-95.53918981,NORMAL
31.70834958,NORMAL
-21.56730287,NORMAL
-100.3746033,NORMAL
9.421771036,NORMAL
126.3530434,NORMAL
-42.89569085,NORMAL
-125.7152519,NORMAL
37.36745739,NORMAL
37.96114993,NORMAL
3.858341332,NORMAL
-58.32002985,NORMAL
64.05980839,NORMAL
-131.1617666,NORMAL
45.08270704,NORMAL
-31.52381901,NORMAL
100.2599982,NORMAL
96.32456029,NORMAL
61.04895545,NORMAL
-69.47288354,NORMAL
16161.30171,ANOMALY
-56.0127648,NORMAL
19.17747193,NORMAL
-34.43861306,NORMAL
79.45819303,NORMAL
-232.5694374,NORMAL
-175.6624488,NORMAL
-9.992351307,NORMAL
228.4518482,NORMAL
-58.44107143,NORMAL
10543.30379,ANOMALY
49.05288532,NORMAL
109.5024901,NORMAL
-23.62974933,NORMAL
-120.8685492,NORMAL
-50.41979227,NORMAL
23.1734628,NORMAL
-29.57955653,NORMAL
-28.55420019,NORMAL
18.21611238,NORMAL
44.20407623,NORMAL
48.01532175,NORMAL
-62.75854921,NORMAL
205.0336885,NORMAL
-31.22322857,NORMAL
-14604.85922,ANOMALY
-38.75956349,NORMAL
104.2341493,NORMAL
-77.7956897,NORMAL
120.7022227,NORMAL
213.9247251,NORMAL
-68.81888246,NORMAL
-71.25488517,NORMAL
110.3177237,NORMAL
53.58611256,NORMAL
-43.44147653,NORMAL
31.50829508,NORMAL
21.42628039,NORMAL
-68.66042457,NORMAL
26.75291402,NORMAL
248.9790805,NORMAL
-12.34960923,NORMAL
-161.7095033,NORMAL
98.63354722,NORMAL
125.3411119,NORMAL
4701.7545,ANOMALY
379.5527327,NORMAL
56.84232899,NORMAL
-66.89906509,NORMAL
-58.7970817,NORMAL
-7439.449823,ANOMALY
-5.101409562,NORMAL
27.03807094,NORMAL
-130.4256467,NORMAL
-177.3287052,NORMAL
125.2550116,NORMAL
-33.6519776,NORMAL
-126.3426513,NORMAL
-128.3833281,NORMAL
113.2007371,NORMAL
-98.58747339,NORMAL
-195.74214,NORMAL
-272.030626,NORMAL
2.597673889,NORMAL
113.943909,NORMAL
-8931.339077,ANOMALY
-67.07595296,NORMAL
19.62944624,NORMAL
-34.6240698,NORMAL
153.592074,NORMAL
-2433.272912,ANOMALY
-122.0202649,NORMAL
106.1842404,NORMAL
52.81752421,NORMAL
-180.1802483,NORMAL
393.7482664,ANOMALY
122.0026457,NORMAL
-89.20318125,NORMAL
-7.22227422,NORMAL
57.53112564,NORMAL
-27.58849633,NORMAL
23.42111567,NORMAL
-104.6761313,NORMAL
35.99625014,NORMAL
49.58234709,NORMAL
-196.7312816,NORMAL
