Amount,Class
129.6037868,NORMAL
145.3037883,NORMAL
76.43738406,NORMAL
-37.921423,NORMAL
-56.14540601,NORMAL
-84.84362688,NORMAL
-1.543998332,NORMAL
52.39594668,NORMAL
-26.2767438,NORMAL
-35.00423412,NORMAL
-61.48746962,NORMAL
-199.9679354,NORMAL
75.75780684,NORMAL
-52.06972883,NORMAL
-47.28343848,NORMAL
2.286369954,NORMAL
76.66411366,NORMAL
-1.824078904,NORMAL
53.49173491,NORMAL
30.89489397,NORMAL
26.32529918,NORMAL
-19.29248662,NORMAL
172.4952345,NORMAL
92.80194276,NORMAL
-16.0368755,NORMAL
178.8516376,NORMAL
-194.1115967,NORMAL
-152.8460227,NORMAL
23.79963097,NORMAL
24.14755782,NORMAL
113.0881846,NORMAL
-110.5845894,NORMAL
-42.47730416,NORMAL
51.74738016,NORMAL
-54.57373733,NORMAL
60.04317948,NORMAL
23.84982963,NORMAL
125.7582735,NORMAL
121.3177284,NORMAL
97.24917146,NORMAL
51.21232384,NORMAL
-158.494998,NORMAL
90.03235237,NORMAL
23.39053745,NORMAL
79.09352946,NORMAL
-24.62767674,NORMAL
-88.08291885,NORMAL
-40.19371322,NORMAL
-76.81809524,NORMAL
42.44298667,NORMAL
119.1766056,NORMAL
-118.3378839,NORMAL
-257.3807302,NORMAL
66.70103316,NORMAL
-4.467429201,NORMAL
11.08038198,NORMAL
21.32505949,NORMAL
-236.8758891,NORMAL
-31.2990731,NORMAL
6.953773376,NORMAL
-107.9042056,NORMAL
81.08842266,NORMAL
-22.76171113,NORMAL
-98.07519791,NORMAL
-88.89719676,NORMAL
-6.6971278,NORMAL
-44.16024038,NORMAL
262.2356667,NORMAL
110.5103796,NORMAL
51.46141383,NORMAL
0.820503023,NORMAL
8.702010355,NORMAL
69.98507266,NORMAL
76.42375863,NORMAL
-80.19865772,NORMAL
116.089496,NORMAL
-94.80760513,NORMAL
-24.67004917,NORMAL
137.5564279,NORMAL
29.096126,NORMAL
-56.62483505,NORMAL
17.23165891,NORMAL
71.61333997,NORMAL
-82.53932172,NORMAL
335.2061116,NORMAL
-103.4889583,NORMAL
-38.23768567,NORMAL
-35.39786453,NORMAL
169.2048433,NORMAL
-104.9682583,NORMAL
-91.54679817,NORMAL
-154.2645232,NORMAL
