Amount,Class
0.609475977,NORMAL
27.35013345,NORMAL
51.25690935,NORMAL
76.48685715,NORMAL
41.35547583,NORMAL
39.93679339,NORMAL
92.48154744,NORMAL
19.72028591,NORMAL
30.01499115,NORMAL
72.56969837,NORMAL
12.21471411,NORMAL
81.21425945,NORMAL
25.19677128,NORMAL
65.3846712,NORMAL
15.51650908,NORMAL
66.91540768,NORMAL
27.41788421,NORMAL
82.27861729,NORMAL
29.73954404,NORMAL
89.75791239,NORMAL
92.43101059,NORMAL
96.89164684,NORMAL
65.66854269,NORMAL
75.47525986,NORMAL
38.26674144,NORMAL
29.06462859,NORMAL
95.61867148,NORMAL
63.38353176,NORMAL
51.48707004,NORMAL
79.18729257,NORMAL
9.896989986,NORMAL
44.91276756,NORMAL
91.99400533,NORMAL
11.85597398,NORMAL
83.44161715,NORMAL
25.72926543,NORMAL
67.70976939,NORMAL
47.38897023,NORMAL
82.98833729,NORMAL
93.48312068,NORMAL
0.542826038,NORMAL
30.00137819,NORMAL
71.77452858,NORMAL
22.53174473,NORMAL
33.27651794,NORMAL
54.82021837,NORMAL
23.57546348,NORMAL
49.43142471,NORMAL
33.36487271,NORMAL
52.42451006,NORMAL
40.77817639,NORMAL
8.555500362,NORMAL
34.09268865,NORMAL
49.22392894,NORMAL
82.23327149,NORMAL
25.88904274,NORMAL
16.15471408,NORMAL
44.74352122,NORMAL
45.78515596,NORMAL
30.86637905,NORMAL
73.43141129,NORMAL
72.76091221,NORMAL
17.66638989,NORMAL
61.05923159,NORMAL
25.5863884,NORMAL
42.24630028,NORMAL
96.35196437,NORMAL
2.589561358,NORMAL
37.08333112,NORMAL
86.18449029,NORMAL
22.00450985,NORMAL
30.33272251,NORMAL
77.31780284,NORMAL
81.61206482,NORMAL
94.30153621,NORMAL
86.29284576,NORMAL
9.782057446,NORMAL
42.5817483,NORMAL
41.22104025,NORMAL
61.97384404,NORMAL
29.52858604,NORMAL
29.26991349,NORMAL
9.271897178,NORMAL
31.1357869,NORMAL
77.67081516,NORMAL
61.07204879,NORMAL
81.69066165,NORMAL
13.01783838,NORMAL
49.25699738,NORMAL
69.28497756,NORMAL
95.28654204,NORMAL
32.92533436,NORMAL
76.57602728,NORMAL
75.85345681,NORMAL
18.90143613,NORMAL
87.01998282,NORMAL
13.80154898,NORMAL
38.66276227,NORMAL
76.86216527,NORMAL
11.21859351,NORMAL
70.85337801,NORMAL
6626.971736,ANOMALY
66.07443095,NORMAL
38.49675126,NORMAL
96.44941573,NORMAL
78.09882549,NORMAL
22.61331674,NORMAL
72.57202565,NORMAL
56.31418536,NORMAL
51.54493971,NORMAL
28.30233849,NORMAL
7251.35155,ANOMALY
32.43223926,NORMAL
5.612664735,NORMAL
46.84459173,NORMAL
46.28374345,NORMAL
47.40564407,NORMAL
88.77312114,NORMAL
41.0288344,NORMAL
45.29721033,NORMAL
4.390574163,NORMAL
6691.43317,ANOMALY
32.05988195,NORMAL
43.44100028,NORMAL
70.73417519,NORMAL
41.36295685,NORMAL
3487.349168,ANOMALY
26.415905,NORMAL
83.41345891,NORMAL
67.66801977,NORMAL
3.382814175,NORMAL
38.39551991,NORMAL
35.72445356,NORMAL
70.14459688,NORMAL
51.56064702,NORMAL
25.51932385,NORMAL
2480.817641,ANOMALY
56.46617801,NORMAL
59.56917897,NORMAL
16.46102434,NORMAL
26.1880002,NORMAL
87.77320255,NORMAL
2.11599641,NORMAL
30.13579907,NORMAL
14.54057903,NORMAL
50.17059619,NORMAL
5718.77198,ANOMALY
98.33161768,NORMAL
92.76003655,NORMAL
28.67177999,NORMAL
25.02783672,NORMAL
78.32632806,NORMAL
14.59254329,NORMAL
1.450741655,NORMAL
88.18905766,NORMAL
8.315141619,NORMAL
3846.774565,ANOMALY
59.96517138,NORMAL
94.95016103,NORMAL
29.78423987,NORMAL
66.90802414,NORMAL
46.68082784,NORMAL
74.48898935,NORMAL
66.38868511,NORMAL
10.87757812,NORMAL
64.68959976,NORMAL
50.45025643,NORMAL
29.06249167,NORMAL
54.50111409,NORMAL
39.47893858,NORMAL
67.20109984,NORMAL
25.59809812,NORMAL
29.90120127,NORMAL
0.966872086,NORMAL
71.7452455,NORMAL
64.0162758,NORMAL
3856.178405,ANOMALY
7.560017345,NORMAL
15.20286969,NORMAL
38.70529672,NORMAL
37.27537324,NORMAL
98.98205368,NORMAL
65.43524157,NORMAL
42.18699396,NORMAL
4.642357433,NORMAL
81.80639447,NORMAL
97.00631103,NORMAL
5.401406755,NORMAL
24.34656872,NORMAL
92.18836412,NORMAL
48.64597921,NORMAL
8445.293932,ANOMALY
65.43583881,NORMAL
8.719479993,NORMAL
91.68643874,NORMAL
35.29857742,NORMAL
4435.673706,ANOMALY
71.20356955,NORMAL
95.33488512,NORMAL
