Amount,Class
62.10514893,NORMAL
27.15106539,NORMAL
39.23535878,NORMAL
40.80442932,NORMAL
84.59800469,NORMAL
98.00287858,NORMAL
22.38604012,NORMAL
79.91131084,NORMAL
33.03924417,NORMAL
82.82943056,NORMAL
23.93404361,NORMAL
37.67292406,NORMAL
7.435548636,NORMAL
96.54582142,NORMAL
98.86795336,NORMAL
98.66442472,NORMAL
58.27733258,NORMAL
89.89763417,NORMAL
41.77560555,NORMAL
72.99499873,NORMAL
7.504404548,NORMAL
66.70175967,NORMAL
27.39348274,NORMAL
4.24183886,NORMAL
86.27356342,NORMAL
78.22926355,NORMAL
34.71374467,NORMAL
58.40341,NORMAL
89.17716764,NORMAL
59.44283941,NORMAL
13.52640562,NORMAL
2.57869043,NORMAL
48.17500843,NORMAL
1.195879733,NORMAL
88.70004707,NORMAL
56.78608678,NORMAL
23.74010002,NORMAL
97.51976246,NORMAL
74.55514685,NORMAL
42.66773722,NORMAL
95.58228813,NORMAL
67.77047292,NORMAL
89.35997643,NORMAL
58.78197125,NORMAL
10.80182501,NORMAL
29.67521138,NORMAL
18.27972311,NORMAL
83.76871299,NORMAL
13.43839491,NORMAL
91.21415389,NORMAL
72.03531151,NORMAL
45.87964312,NORMAL
36.11929288,NORMAL
36.79209923,NORMAL
28.07920325,NORMAL
0.196996741,NORMAL
81.87380719,NORMAL
6.29922527,NORMAL
21.2711589,NORMAL
23.32184005,NORMAL
62.16907232,NORMAL
4.429746204,NORMAL
71.83782138,NORMAL
69.39477876,NORMAL
85.8360074,NORMAL
32.02175894,NORMAL
99.8256832,NORMAL
31.01902714,NORMAL
12.79215225,NORMAL
1.201128974,NORMAL
77.30783894,NORMAL
13.9878068,NORMAL
96.33159125,NORMAL
81.75678833,NORMAL
12.28065615,NORMAL
65.67511421,NORMAL
38.24035346,NORMAL
27.44431785,NORMAL
41.48731866,NORMAL
93.53085878,NORMAL
72.1090088,NORMAL
47.809274,NORMAL
33.33096768,NORMAL
72.32846872,NORMAL
71.95245351,NORMAL
23.64121992,NORMAL
66.59090862,NORMAL
66.64506183,NORMAL
55.610124,NORMAL
12.3139238,NORMAL
55.83121769,NORMAL
88.51131316,NORMAL
15.38821179,NORMAL
53.03678412,NORMAL
40.19176015,NORMAL
69.25017943,NORMAL
62.01870398,NORMAL
61.43702802,NORMAL
38.67750369,NORMAL
49.23068701,NORMAL
12.24834342,NORMAL
2125.430557,ANOMALY
38.8659653,NORMAL
79.48922493,NORMAL
29.73524786,NORMAL
23.42709988,NORMAL
8597.403433,ANOMALY
98.4086254,NORMAL
33.96206168,NORMAL
65.64495261,NORMAL
65.78892326,NORMAL
1906.826537,ANOMALY
25.34291153,NORMAL
25.75027463,NORMAL
5.773896559,NORMAL
55.11182505,NORMAL
8567.196695,ANOMALY
36.53794413,NORMAL
21.19978445,NORMAL
